checklist_item,task,primary_files_to_create_or_update,depends_on,readiness_status
4-I1,shared config/code scaffold,"configs/env_local.yaml; configs/env_kaggle.yaml; src/stage4_film/config.py; src/stage4_film/paths.py; src/stage4_film/runtime.py; src/stage4_film/seed.py; scripts/_stage4_script_utils.py; scripts/check_stage4_scaffold.py",4-I0,complete
4-I2,structured context source audit and feature builder,"src/stage4_film/context/sources.py; src/stage4_film/context/features.py; src/stage4_film/context/normalization.py; scripts/audit_stage4_context_sources.py; scripts/build_stage4_context_features.py",4-I1,complete
4-I3,context MLP encoder,"src/stage4_film/conditions/context_encoder.py; scripts/check_stage4_context_encoder.py",4-I1 and 4-I2,complete
4-I4,CNN + context concat model,"src/stage4_film/models/context_stock_cnn.py; scripts/check_stage4_model_shapes.py",4-I1 and 4-I3,complete
4-I5,CNN + context gating model,"src/stage4_film/models/context_stock_cnn.py; scripts/check_stage4_model_shapes.py",4-I1 and 4-I3,complete
4-I6,FiLM layer and FiLM generator modules,"src/stage4_film/layers/film.py; src/stage4_film/conditions/film_generator.py; scripts/check_stage4_film_layers.py",4-I1 and 4-I3,ready
4-I7,gamma-only and full FiLM models,"src/stage4_film/models/film_stock_cnn.py; scripts/check_stage4_model_shapes.py",4-I6,ready_after_film_layer
4-I8,Stage 4 runner using fixed Stage 2 data pipeline,"src/stage4_film/runners/context_experiment.py; scripts/run_stage4_context_model.py",4-I2 through 4-I7,ready_after_models
4-I9,prediction classification and trading exports,"scripts/evaluate_stage4_predictions.py; scripts/evaluate_stage4_trading.py; src/stage4_film/evaluation/exports.py",4-I8,ready_after_runner
4-I10,Grad-CAM plus context/gate/gamma/beta export,"src/stage4_film/interpretability/gradcam_context.py; scripts/generate_stage4_gradcam_context.py",4-I8 and 4-I9,ready_after_eval
4-I11,local or small Kaggle smoke test,"scripts/check_stage4_outputs.py; reports/smoke_tests/stage4_smoke_summary.json",4-I8 through 4-I10,ready_after_exports
4-I12,Kaggle four-ablation single-seed run,"notebooks/kaggle_stage4_four_ablation_single_seed_one_cell.md; outputs/stage4/*",4-I11,ready_after_smoke
4-I13,Kaggle selected five-seed runner,"notebooks/kaggle_stage4_four_ablation_five_seed_one_cell.md; scripts/run_stage4_grid.py; scripts/summarize_stage4_results.py",4-I12,ready_after_single_seed
4-I14,Stage 4 result report,"reports/stage4_result_report.md; reports/tables/stage4_*; reports/figures/gradcam/*",4-I13,ready_after_kaggle_outputs
