feature_left,family_left,feature_right,family_right,abs_corr_train,cross_family
news__news_svd_20d_01_normalized,news,news__news_svd_60d_01_normalized,news,0.9942628472692523,False
news__news_svd_7d_01_normalized,news,news__news_svd_20d_01_normalized,news,0.9898645857362334,False
news__news_svd_7d_02_normalized,news,news__news_svd_20d_02_normalized,news,0.9862353454928366,False
news__news_svd_7d_01_normalized,news,news__news_svd_60d_01_normalized,news,0.9828142711162519,False
news__news_svd_7d_03_normalized,news,news__news_svd_20d_03_normalized,news,0.9787360723038202,False
news__news_svd_7d_05_normalized,news,news__news_svd_20d_05_normalized,news,0.9784913333494313,False
news__news_svd_7d_04_normalized,news,news__news_svd_20d_04_normalized,news,0.9763246181706459,False
news__news_svd_7d_06_normalized,news,news__news_svd_20d_06_normalized,news,0.9723626170474985,False
news__news_svd_20d_02_normalized,news,news__news_svd_60d_02_normalized,news,0.9713698218952498,False
news__news_svd_7d_07_normalized,news,news__news_svd_20d_07_normalized,news,0.9704045815866522,False
news__news_svd_7d_08_normalized,news,news__news_svd_20d_08_normalized,news,0.9672631349505512,False
news__news_svd_7d_10_normalized,news,news__news_svd_20d_10_normalized,news,0.9584702845557063,False
news__news_svd_7d_09_normalized,news,news__news_svd_20d_09_normalized,news,0.9569550729605415,False
news__news_svd_7d_11_normalized,news,news__news_svd_20d_11_normalized,news,0.9548510449347348,False
news__news_svd_20d_03_normalized,news,news__news_svd_60d_03_normalized,news,0.9525849594478989,False
news__news_svd_7d_12_normalized,news,news__news_svd_20d_12_normalized,news,0.9524112860431821,False
roro__roro_proxy_value_normalized,roro,roro__riskoff_neg_sp500_return_20_normalized,roro,0.951859069044803,False
fsi__ofr_fsi_mean_20_normalized,fsi,fsi__ofr_fsi_std_60_normalized,fsi,0.9419715976584753,False
news__news_svd_7d_02_normalized,news,news__news_svd_60d_02_normalized,news,0.938431012096364,False
news__news_svd_20d_04_normalized,news,news__news_svd_60d_04_normalized,news,0.9361262156841126,False
news__news_svd_7d_14_normalized,news,news__news_svd_20d_14_normalized,news,0.9340728842667853,False
news__news_svd_20d_00_normalized,news,news__news_count_log1p_20d_normalized,news,0.9338204886843899,False
news__news_svd_7d_00_normalized,news,news__news_count_log1p_7d_normalized,news,0.9291203765566435,False
news__news_svd_7d_15_normalized,news,news__news_svd_20d_15_normalized,news,0.9276452511330859,False
news__news_svd_7d_13_normalized,news,news__news_svd_20d_13_normalized,news,0.9265213509718451,False
news__news_svd_20d_05_normalized,news,news__news_svd_60d_05_normalized,news,0.9263919853037241,False
news__news_svd_7d_16_normalized,news,news__news_svd_20d_16_normalized,news,0.9179143554528667,False
news__news_svd_60d_00_normalized,news,news__news_count_log1p_60d_normalized,news,0.9164090270755388,False
news__news_svd_7d_03_normalized,news,news__news_svd_60d_03_normalized,news,0.9073369884418919,False
news__news_svd_7d_18_normalized,news,news__news_svd_20d_18_normalized,news,0.9049467976332184,False
news__news_svd_7d_19_normalized,news,news__news_svd_20d_19_normalized,news,0.8990228562572817,False
fsi__ofr_fsi_value_normalized,fsi,fsi__ofr_fsi_mean_20_normalized,fsi,0.8964430285513029,False
news__news_svd_7d_17_normalized,news,news__news_svd_20d_17_normalized,news,0.8962787891165112,False
roro__roro_proxy_value_normalized,roro,roro__riskoff_vix_change_20_normalized,roro,0.8961426664309216,False
news__news_count_log1p_7d_normalized,news,news__news_count_log1p_20d_normalized,news,0.895954583161967,False
news__news_svd_20d_06_normalized,news,news__news_svd_60d_06_normalized,news,0.8918193438910843,False
fsi__ofr_fsi_delta_20_normalized,fsi,roro__roro_proxy_mean_20_normalized,roro,0.8889155723011944,True
news__news_count_log1p_20d_normalized,news,news__news_count_log1p_60d_normalized,news,0.8887055033182082,False
news__news_svd_7d_20_normalized,news,news__news_svd_20d_20_normalized,news,0.8878856484277226,False
news__news_svd_7d_00_normalized,news,news__news_svd_20d_00_normalized,news,0.8864790361239149,False
news__news_svd_7d_21_normalized,news,news__news_svd_20d_21_normalized,news,0.8776324063318264,False
news__news_svd_7d_04_normalized,news,news__news_svd_60d_04_normalized,news,0.8775689957245375,False
fsi__ofr_fsi_value_normalized,fsi,fsi__ofr_fsi_std_60_normalized,fsi,0.8763860790980335,False
news__news_svd_20d_07_normalized,news,news__news_svd_60d_07_normalized,news,0.8762177254757276,False
fsi__ofr_fsi_mean_20_normalized,fsi,roro__roro_proxy_std_60_normalized,roro,0.8761407063129435,True
fsi__ofr_fsi_delta_60_normalized,fsi,roro__roro_proxy_mean_60_normalized,roro,0.8730138429290722,True
news__news_svd_7d_05_normalized,news,news__news_svd_60d_05_normalized,news,0.8631656814049575,False
news__news_svd_7d_25_normalized,news,news__news_svd_20d_25_normalized,news,0.8601312655869003,False
news__news_svd_20d_00_normalized,news,news__news_svd_60d_00_normalized,news,0.8597021465635113,False
news__news_svd_7d_22_normalized,news,news__news_svd_20d_22_normalized,news,0.8522127489343937,False
news__news_svd_7d_23_normalized,news,news__news_svd_20d_23_normalized,news,0.8520924702459638,False
roro__riskoff_vix_change_20_normalized,roro,roro__riskoff_neg_sp500_return_20_normalized,roro,0.8516264788174419,False
news__news_svd_20d_08_normalized,news,news__news_svd_60d_08_normalized,news,0.8507320365122621,False
