image_spec,context_feature_set,run_seed,transition,count,seed_total,rate
ohlc,technical_all,42,both_correct,777,1441,0.5392088827203331
ohlc,technical_all,42,both_wrong,656,1441,0.4552394170714781
ohlc,technical_all,42,stage2_correct_to_stage4_wrong,4,1441,0.0027758501040943
ohlc,technical_all,42,stage2_wrong_to_stage4_correct,4,1441,0.0027758501040943
ohlc,technical_all,43,both_correct,780,1441,0.5412907702984039
ohlc,technical_all,43,both_wrong,661,1441,0.4587092297015961
ohlc,technical_all,44,both_correct,821,1441,0.5697432338653713
ohlc,technical_all,44,both_wrong,620,1441,0.4302567661346287
ohlc,technical_all,45,both_correct,813,1441,0.5641915336571826
ohlc,technical_all,45,both_wrong,623,1441,0.4323386537126995
ohlc,technical_all,45,stage2_correct_to_stage4_wrong,2,1441,0.0013879250520471
ohlc,technical_all,45,stage2_wrong_to_stage4_correct,3,1441,0.0020818875780707
ohlc,technical_all,46,both_correct,821,1441,0.5697432338653713
ohlc,technical_all,46,both_wrong,615,1441,0.4267869535045107
ohlc,technical_all,46,stage2_correct_to_stage4_wrong,3,1441,0.0020818875780707
ohlc,technical_all,46,stage2_wrong_to_stage4_correct,2,1441,0.0013879250520471
ohlc_ma,volume_volatility,42,both_correct,821,1441,0.5697432338653713
ohlc_ma,volume_volatility,42,both_wrong,616,1441,0.4274809160305343
ohlc_ma,volume_volatility,42,stage2_correct_to_stage4_wrong,2,1441,0.0013879250520471
ohlc_ma,volume_volatility,42,stage2_wrong_to_stage4_correct,2,1441,0.0013879250520471
ohlc_ma,volume_volatility,43,both_correct,765,1441,0.5308813324080499
ohlc_ma,volume_volatility,43,both_wrong,669,1441,0.4642609299097848
ohlc_ma,volume_volatility,43,stage2_correct_to_stage4_wrong,2,1441,0.0013879250520471
ohlc_ma,volume_volatility,43,stage2_wrong_to_stage4_correct,5,1441,0.0034698126301179
ohlc_ma,volume_volatility,44,both_correct,804,1441,0.5579458709229702
ohlc_ma,volume_volatility,44,both_wrong,637,1441,0.4420541290770298
ohlc_ma,volume_volatility,45,both_correct,775,1441,0.5378209576682859
ohlc_ma,volume_volatility,45,both_wrong,666,1441,0.4621790423317141
ohlc_ma,volume_volatility,46,both_correct,845,1441,0.5863983344899375
ohlc_ma,volume_volatility,46,both_wrong,592,1441,0.4108258154059681
ohlc_ma,volume_volatility,46,stage2_correct_to_stage4_wrong,3,1441,0.0020818875780707
ohlc_ma,volume_volatility,46,stage2_wrong_to_stage4_correct,1,1441,0.0006939625260235
ohlc_vb,bb_trend,42,both_correct,852,1441,0.5912560721721027
ohlc_vb,bb_trend,42,both_wrong,578,1441,0.4011103400416377
ohlc_vb,bb_trend,42,stage2_correct_to_stage4_wrong,5,1441,0.0034698126301179
ohlc_vb,bb_trend,42,stage2_wrong_to_stage4_correct,6,1441,0.0041637751561415
ohlc_vb,bb_trend,43,both_correct,804,1441,0.5579458709229702
ohlc_vb,bb_trend,43,both_wrong,624,1441,0.4330326162387231
ohlc_vb,bb_trend,43,stage2_correct_to_stage4_wrong,9,1441,0.0062456627342123
ohlc_vb,bb_trend,43,stage2_wrong_to_stage4_correct,4,1441,0.0027758501040943
ohlc_vb,bb_trend,44,both_correct,788,1441,0.5468424705065926
ohlc_vb,bb_trend,44,both_wrong,651,1441,0.4517696044413601
ohlc_vb,bb_trend,44,stage2_wrong_to_stage4_correct,2,1441,0.0013879250520471
ohlc_vb,bb_trend,45,both_correct,811,1441,0.5628036086051353
ohlc_vb,bb_trend,45,both_wrong,630,1441,0.4371963913948646
ohlc_vb,bb_trend,46,both_correct,819,1441,0.5683553088133241
ohlc_vb,bb_trend,46,both_wrong,619,1441,0.4295628036086051
ohlc_vb,bb_trend,46,stage2_wrong_to_stage4_correct,3,1441,0.0020818875780707
ohlc_ma_vb,technical_all_control,42,both_correct,868,1441,0.6023594725884802
ohlc_ma_vb,technical_all_control,42,both_wrong,571,1441,0.3962526023594725
ohlc_ma_vb,technical_all_control,42,stage2_correct_to_stage4_wrong,1,1441,0.0006939625260235
ohlc_ma_vb,technical_all_control,42,stage2_wrong_to_stage4_correct,1,1441,0.0006939625260235
ohlc_ma_vb,technical_all_control,43,both_correct,828,1441,0.5746009715475364
ohlc_ma_vb,technical_all_control,43,both_wrong,613,1441,0.4253990284524636
ohlc_ma_vb,technical_all_control,44,both_correct,806,1441,0.5593337959750173
ohlc_ma_vb,technical_all_control,44,both_wrong,623,1441,0.4323386537126995
ohlc_ma_vb,technical_all_control,44,stage2_correct_to_stage4_wrong,5,1441,0.0034698126301179
ohlc_ma_vb,technical_all_control,44,stage2_wrong_to_stage4_correct,7,1441,0.0048577376821651
ohlc_ma_vb,technical_all_control,45,both_correct,811,1441,0.5628036086051353
ohlc_ma_vb,technical_all_control,45,both_wrong,630,1441,0.4371963913948646
ohlc_ma_vb,technical_all_control,46,both_correct,853,1441,0.5919500346981263
ohlc_ma_vb,technical_all_control,46,both_wrong,583,1441,0.4045801526717557
ohlc_ma_vb,technical_all_control,46,stage2_correct_to_stage4_wrong,2,1441,0.0013879250520471
ohlc_ma_vb,technical_all_control,46,stage2_wrong_to_stage4_correct,3,1441,0.0020818875780707
