feature_left,group_left,feature_right,group_right,abs_corr_train,cross_group
funding_rate_mean_60,bitmex_funding,funding_rate_sum_60,bitmex_funding,1.0000000000000004,False
bitmex_volume_mean_20,bitmex_activity,bitmex_foreignnotional_mean_20,bitmex_activity,1.0,False
bitmex_volume_mean_60,bitmex_activity,bitmex_foreignnotional_mean_60,bitmex_activity,1.0,False
bitmex_turnover_mean_20,bitmex_activity,bitmex_homenotional_mean_20,bitmex_activity,0.9999999999999998,False
funding_rate_mean_7,bitmex_funding,funding_rate_sum_7,bitmex_funding,0.9999999999999997,False
bitmex_turnover_mean_60,bitmex_activity,bitmex_homenotional_mean_60,bitmex_activity,0.9999999999999994,False
funding_rate_mean_20,bitmex_funding,funding_rate_sum_20,bitmex_funding,0.9999999999999984,False
cot_open_interest_change_20,cftc_cme_oi_positioning,cot_open_interest_pct_change_20,cftc_cme_oi_positioning,0.9249873122556439,False
cot_open_interest_change_60,cftc_cme_oi_positioning,cot_open_interest_pct_change_60,cftc_cme_oi_positioning,0.9020187310853325,False
bitmex_trades_mean_7,bitmex_activity,bitmex_trades_mean_20,bitmex_activity,0.8837555438412819,False
bitmex_volume_mean_7,bitmex_activity,bitmex_volume_mean_20,bitmex_activity,0.8749104891268379,False
bitmex_volume_mean_7,bitmex_activity,bitmex_foreignnotional_mean_20,bitmex_activity,0.8749104891268379,False
bitmex_turnover_mean_7,bitmex_activity,bitmex_homenotional_mean_20,bitmex_activity,0.8607121935135981,False
bitmex_turnover_mean_7,bitmex_activity,bitmex_turnover_mean_20,bitmex_activity,0.8607121935135964,False
