metric,quantile,value
finbert_confidence,0.0,0.34327027
finbert_confidence,0.01,0.447233936
finbert_confidence,0.05,0.52267057
finbert_confidence,0.1,0.5782069
finbert_confidence,0.25,0.7308641
finbert_confidence,0.5,0.8659228
finbert_confidence,0.75,0.92492944
finbert_confidence,0.9,0.9458394
finbert_confidence,0.95,0.9564163
finbert_confidence,0.99,0.96945516
finbert_confidence,1.0,0.97640926
finbert_sentiment_score,0.0,-0.9693749
finbert_sentiment_score,0.01,-0.95869812
finbert_sentiment_score,0.05,-0.94106627
finbert_sentiment_score,0.1,-0.89850026
finbert_sentiment_score,0.25,-0.3360529
finbert_sentiment_score,0.5,0.049795806
finbert_sentiment_score,0.75,0.453049
finbert_sentiment_score,0.9,0.84908205
finbert_sentiment_score,0.95,0.8977888
finbert_sentiment_score,0.99,0.926608182
finbert_sentiment_score,1.0,0.94171464
daily_sentiment_mean,0.0,-0.96041113
daily_sentiment_mean,0.01,-0.825826537
daily_sentiment_mean,0.05,-0.46686381483333333
daily_sentiment_mean,0.1,-0.346115072
daily_sentiment_mean,0.25,-0.14540227953578433
daily_sentiment_mean,0.5,0.035494193
daily_sentiment_mean,0.75,0.20382866683333334
daily_sentiment_mean,0.9,0.35219135345294117
daily_sentiment_mean,0.95,0.44015185129464285
daily_sentiment_mean,0.99,0.7772777900000001
daily_sentiment_mean,1.0,0.9254265
daily_news_count,0.0,1.0
daily_news_count,0.01,1.0
daily_news_count,0.05,1.0
daily_news_count,0.1,2.0
daily_news_count,0.25,4.0
daily_news_count,0.5,9.0
daily_news_count,0.75,15.0
daily_news_count,0.9,20.0
daily_news_count,0.95,25.0
daily_news_count,0.99,33.0
daily_news_count,1.0,70.0
